사건번호,법원,매각기일,시군구,법정동,지번,단지명,호실,토지면적,건물면적,건물평수,감정가,최저가,매각가,매각가율,최저가율,유찰횟수,평당매각가,평당감정가,대지권미등기,대항력임차인
2025타경54996,수원본원지방법원,2026-08-28,화성시 동탄구,영천동,853-1,동탄에스케이브이원센터,제13층 제1308호,64.75,222.08,67.18,1240000000,607600000,684000000,55.0,49,2,1018,1846,,
2024타경100762,수원본원지방법원,2026-08-26,용인시 기흥구,농서동,457,이너매스허브시티,제3층 제328호,7.6,17.67,5.35,91000000,21849000,27333000,30.0,24,4,511,1702,,
2025타경51980,수원본원지방법원,2026-08-25,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제7층 제713호,94.28,191.88,58.04,992000000,340256000,370000000,37.0,34,3,637,1709,,
2025타경54837,수원본원지방법원,2026-08-25,용인시 기흥구,중동,1030,대우프론티어밸리 1,제4층 제402호,233.37,699.59,211.63,1849000000,634207000,998000100,54.0,34,3,472,874,,O
2025타경956(3),수원본원지방법원,2026-08-25,화성시 동탄구,영천동,875-1,동탄코너원스마트타워,제13층 제1318호,,36.25,10.97,153000000,52479000,71000000,46.0,34,3,647,1395,O,
2025타경956(4),수원본원지방법원,2026-08-25,화성시 동탄구,영천동,875-1,동탄코너원스마트타워,제13층 제1317호,,36.25,10.97,153000000,52479000,60000000,39.0,34,3,547,1395,O,
2025타경56936,수원본원지방법원,2026-08-21,화성시 동탄구,영천동,862-2,동탄아이티밸리2차1동,제11층 제1127호,11.96,33.79,10.22,150000000,51450000,57445000,38.0,34,3,562,1468,,
2024타경101512,수원본원지방법원,2026-08-14,화성시 동탄구,영천동,846-3,동탄아이티밸리지식산업센터,제5층 제511호,,34.71,10.5,125000000,30013000,32666666,26.0,24,4,311,1191,O,
2024타경90490(2),수원본원지방법원,2026-08-12,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제지1층 제비015호,42.02,85.5,25.86,345100000,28421000,41620000,12.0,8,,161,1334,,
2024타경101505,수원본원지방법원,2026-08-12,화성시 동탄구,영천동,846-3,동탄아이티밸리지식산업센터,제6층 제614호,,34.71,10.5,127000000,30493000,33000000,26.0,24,4,314,1210,O,
2024타경95747(1),수원본원지방법원,2026-08-11,용인시 기흥구,농서동,452,기흥테라타워현대엔지니어링지식산업센터,제2층 제티-234호,45.15,135.6,41.02,554000000,271460000,391100000,71.0,49,2,953,1351,,
2025타경55544,수원본원지방법원,2026-08-11,용인시 기흥구,청덕동,556,용인테크노밸리지식산업센터,제4층 제비402호,34.41,89.16,26.97,375000000,183750000,222228000,59.0,49,2,824,1390,,
2024타경12735,수원본원지방법원,2026-08-11,화성시 동탄구,영천동,846-3,동탄아이티밸리지식산업센터,제9층 제909호,,34.71,10.5,126000000,61740000,64500000,51.0,49,2,614,1200,O,
2024타경75859,수원본원지방법원,2026-08-11,화성시,주곡리,1115,,제3층 제315호,264.34,239.0,72.3,415000000,99642000,120000000,29.0,24,4,166,574,,
2024타경91592,수원본원지방법원,2026-08-11,화성시 동탄구,영천동,873-5,동탄역 센테라아이티타워2,제9층 제905호,,42.4,12.83,197000000,47300000,48499999,25.0,24,4,378,1536,O,
2025타경958,수원본원지방법원,2026-08-05,화성시 동탄구,영천동,875-1,동탄코너원스마트타워,제2층 제210호,,35.64,10.78,142000000,48706000,50100000,35.0,34,3,465,1317,O,
2024타경10876,수원본원지방법원,2026-07-15,화성시 동탄구,영천동,836-2,루체스타비즈,제4층 제406호,,88.29,26.71,366000000,125538000,151500000,41.0,34,3,567,1370,O,
2025타경949(1),수원본원지방법원,2026-07-15,화성시 동탄구,영천동,844-1,현대실리콘앨리동탄,제18층 제에이동1815호,16.43,52.76,15.96,287000000,98441000,146000000,51.0,34,3,915,1798,,
2025타경949(2),수원본원지방법원,2026-07-15,화성시 동탄구,영천동,844-1,현대실리콘앨리동탄,제18층 제에이동1816호,16.43,52.76,15.96,287000000,98441000,146000000,51.0,34,3,915,1798,,
2024타경91943(1),수원본원지방법원,2026-07-13,용인시 기흥구,영덕동,1315,힉스유타워 제에이동,제15층 제1501호,116.64,449.77,136.05,2012000000,985880000,1300010000,65.0,49,2,956,1479,,
2024타경91943(2),수원본원지방법원,2026-07-13,용인시 기흥구,영덕동,1315,힉스유타워 제에이동,제15층 제1505호,16.63,64.13,19.4,287000000,140630000,186000000,65.0,49,2,959,1479,,
2024타경91943(3),수원본원지방법원,2026-07-13,용인시 기흥구,영덕동,1315,힉스유타워 제에이동,제15층 제1506호,30.87,119.03,36.01,532000000,260680000,324000000,61.0,49,2,900,1478,,
2024타경91943(4),수원본원지방법원,2026-07-13,용인시 기흥구,영덕동,1315,힉스유타워 제에이동,제15층 제1508호,24.34,93.84,28.39,420000000,205800000,276400000,66.0,49,2,974,1480,,
2024타경91943(5),수원본원지방법원,2026-07-13,용인시 기흥구,영덕동,1315,힉스유타워 제에이동,제15층 제1509호,31.1,119.94,36.28,537000000,263130000,336000000,63.0,49,2,926,1480,,
2024타경91943(6),수원본원지방법원,2026-07-13,용인시 기흥구,영덕동,1315,힉스유타워 제에이동,제15층 제1510호,31.22,120.38,36.41,538000000,263620000,336000000,62.0,49,2,923,1477,,
2024타경91943(7),수원본원지방법원,2026-07-13,용인시 기흥구,영덕동,1315,힉스유타워 제에이동,제15층 제1511호,20.63,79.57,24.07,356000000,174440000,223500000,63.0,49,2,929,1479,,
2025타경54902,수원본원지방법원,2026-07-13,용인시 기흥구,영덕동,1315,힉스유타워 제에이동,제22층 제2203호,30.52,117.69,35.6,528000000,258720000,261500000,50.0,49,2,735,1483,,O
2024타경91820,수원본원지방법원,2026-07-13,화성시 동탄구,영천동,853-3,에스에이치타임스퀘어 제1동,제10층 제1010호,23.62,77.22,23.36,282000000,138180000,183350000,65.0,49,2,785,1207,,
2025타경1270(1),수원본원지방법원,2026-07-08,화성시 동탄구,영천동,835-1,더퍼스트타워투,제2층 제212호,14.2,45.6,13.79,333000000,79953000,83600000,25.0,24,4,606,2414,,
2025타경1270(2),수원본원지방법원,2026-07-08,화성시 동탄구,영천동,835-1,더퍼스트타워투,제2층 제213호,14.2,45.6,13.79,333000000,79953000,83600000,25.0,24,4,606,2414,,
2024타경90490(1),수원본원지방법원,2026-07-01,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제지1층 제비014호,36.27,73.8,22.32,313600000,36895000,40300000,13.0,12,6,181,1405,,
2025타경692,수원본원지방법원,2026-07-01,화성시 동탄구,영천동,844-1,현대실리콘앨리동탄,제지하2층 제에이동비218호,13.66,43.89,13.28,171000000,58653000,70400000,41.0,34,3,530,1288,,
2024타경95747(2),수원본원지방법원,2026-06-26,용인시 기흥구,농서동,452,기흥테라타워현대엔지니어링지식산업센터,제10층 제티-10039호,18.27,54.86,16.6,218000000,74774000,108820000,50.0,34,3,656,1314,,
2024타경101802,수원본원지방법원,2026-06-26,용인시 기흥구,영덕동,1315,힉스유타워 제에이동,제17층 제1712호,27.97,107.85,32.62,472000000,231280000,247580000,52.0,49,2,759,1447,,
2025타경1241,수원본원지방법원,2026-06-23,화성시 동탄구,영천동,852-1,동탄역센테라아이티타워,제5층 제514호,,33.66,10.18,130000000,44590000,54999900,42.0,34,3,540,1277,O,
2024타경70212(1),수원본원지방법원,2026-06-17,화성시,주곡리,1115,,제2층 제205호,264.34,239.0,72.3,440000000,105644000,150000000,34.0,24,4,207,609,,
2024타경70212(2),수원본원지방법원,2026-06-17,화성시,주곡리,1115,,제2층 제206호,264.34,239.0,72.3,440000000,105644000,150000000,34.0,24,4,207,609,,
2025타경56401(2),수원본원지방법원,2026-06-02,화성시 동탄구,영천동,878-3,서영아너시티,제8층 제818호,3.45,8.4,2.54,40000000,13720000,15010000,38.0,34,3,591,1574,,
2024타경97453,수원본원지방법원,2026-05-27,화성시 동탄구,영천동,832-3,동탄아이티타워,제3층 제304호,22.16,55.1,16.67,144000000,70560000,82000000,57.0,49,2,492,864,,
2024타경90490(4),수원본원지방법원,2026-05-26,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제5층 제559호,26.19,53.29,16.12,279500000,46976000,65300000,23.0,17,5,405,1734,,
2023타경7385(5),수원본원지방법원,2026-05-20,화성시 동탄구,영천동,834-1,와이케이퍼스트타워,8층813호,11.78,28.42,8.6,92000000,31556000,31556000,34.0,34,3,367,1070,,
2024타경11855(2),수원본원지방법원,2026-05-19,화성시 동탄구,영천동,836-1,더퍼스트타워쓰리,제2층 제213호,20.24,61.56,18.62,442000000,52000000,93110000,21.0,12,6,500,2374,,
2025타경54852,수원본원지방법원,2026-05-19,화성시 동탄구,영천동,878-3,서영아너시티,제5층 제516호,4.56,11.1,3.36,51100000,17527000,21510000,42.0,34,3,641,1522,,
2024타경101994,수원본원지방법원,2026-05-18,화성시 동탄구,영천동,878-3,서영아너시티,제11층 제1101호,,40.56,12.27,181000000,62083000,72499000,40.0,34,3,591,1475,O,
2024타경101789(1),수원본원지방법원,2026-05-13,화성시 동탄구,영천동,878-3,서영아너시티,제8층 제801호,7.9,19.24,5.82,91600000,31419000,33420000,36.0,34,3,574,1574,,
2024타경101789(2),수원본원지방법원,2026-05-13,화성시 동탄구,영천동,878-3,서영아너시티,제8층 제802호,8.76,21.32,6.45,101000000,34643000,36660000,36.0,34,3,568,1566,,
2025타경302(1),수원본원지방법원,2026-04-29,화성시 동탄구,영천동,652-4,에이팩시티,제16층 제1626호,11.46,37.38,11.31,172000000,84280000,120000000,70.0,49,2,1061,1521,,
2025타경302(2),수원본원지방법원,2026-04-29,화성시 동탄구,영천동,652-4,에이팩시티,제16층 제1627호,11.46,37.38,11.31,172000000,84280000,120000000,70.0,49,2,1061,1521,,
2025타경951,수원본원지방법원,2026-04-28,화성시 동탄구,영천동,873-5,동탄역 센테라아이티타워2,제8층 제808호,,71.02,21.48,307000000,105301000,117990000,38.0,34,3,549,1429,O,
2025타경1122,수원본원지방법원,2026-04-28,화성시 동탄구,영천동,862-3,샹보르줌타워,제10층 제1002호,27.4,74.2,22.45,298000000,146020000,181789000,61.0,49,2,810,1328,,
2025타경56216,수원본원지방법원,2026-04-27,화성시 동탄구,영천동,878-3,서영아너시티,제13층 제1313호,28.16,68.61,20.75,307000000,105301000,132250000,43.0,34,3,637,1479,,
2025타경55583(1),수원본원지방법원,2026-04-22,용인시 기흥구,영덕동,1029,유-타워,제28층 제2801호,141.07,369.63,111.81,1303000000,638470000,912000000,70.0,49,2,816,1165,,
2024타경6105,수원본원지방법원,2026-04-21,용인시 기흥구,농서동,452,기흥테라타워현대엔지니어링지식산업센터,제9층 제티-9054호,23.71,71.2,21.54,285000000,97755000,118111000,41.0,34,3,548,1323,,
2024타경10104,수원본원지방법원,2026-04-21,화성시 동탄구,영천동,878-3,서영아너시티,제3층 제311호,,31.08,9.4,146000000,50078000,50500000,35.0,34,3,537,1553,O,
2024타경90490(3),수원본원지방법원,2026-04-20,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제3층 제361호,26.19,53.29,16.12,279500000,67108000,71190000,25.0,24,4,442,1734,,
2023타경7385(2),수원본원지방법원,2026-04-15,화성시 동탄구,영천동,834-1,와이케이퍼스트타워,5층511호,14.42,34.79,10.52,113000000,27131000,41825000,37.0,24,4,397,1074,,
2023타경7385(3),수원본원지방법원,2026-04-15,화성시 동탄구,영천동,834-1,와이케이퍼스트타워,5층512호,48.95,118.09,35.72,383000000,91958000,141725000,37.0,24,4,397,1072,,
2023타경7385(4),수원본원지방법원,2026-04-15,화성시 동탄구,영천동,834-1,와이케이퍼스트타워,6층606호,14.38,34.68,10.49,113000000,27131000,35135000,31.0,24,4,335,1077,,
2024타경11855(1),수원본원지방법원,2026-04-14,화성시 동탄구,영천동,836-1,더퍼스트타워쓰리,제2층 제212호,20.24,61.56,18.62,442000000,74286000,82246000,19.0,17,5,442,2374,,
2024타경5300,수원본원지방법원,2026-04-06,용인시 기흥구,농서동,457,이너매스허브시티,제7층 제724호,8.24,19.15,5.79,116000000,19496000,23230000,20.0,17,5,401,2002,,
2024타경93055(1),수원본원지방법원,2026-04-01,화성시 동탄구,영천동,823-6,금강펜테리움아이엑스타워 제비동,제28층 제비2845호,11.64,32.9,9.95,152000000,74480000,86401700,57.0,49,2,868,1527,,
2024타경93055(2),수원본원지방법원,2026-04-01,화성시 동탄구,영천동,823-6,금강펜테리움아이엑스타워 제비동,제28층 제비2846호,13.43,37.97,11.49,175000000,85750000,102600000,59.0,49,2,893,1524,,
2025타경50987,수원본원지방법원,2026-03-27,용인시 기흥구,영덕동,1315,힉스유타워 제에이동,제지하1층 제비121호,23.15,89.25,27.0,361000000,123823000,167500000,46.0,34,3,620,1337,,
2024타경13226,수원본원지방법원,2026-03-27,화성시 동탄구,영천동,839-1,동탄골든아이타워,제3층 제301호,,54.53,16.5,198000000,67914000,68414000,35.0,34,3,415,1200,O,
2025타경55583(2),수원본원지방법원,2026-03-23,용인시 기흥구,영덕동,1029,유-타워,제지2층 제비204호,127.43,333.93,101.01,730000000,511000000,558590000,77.0,70,1,553,723,,
2024타경9807,수원본원지방법원,2026-03-20,화성시 동탄구,영천동,873-5,동탄역 센테라아이티타워2,제11층 제1111호,,89.04,26.93,350000000,120050000,129000000,37.0,34,3,479,1299,,
2024타경13998,수원본원지방법원,2026-03-20,화성시,동화리,564,프리미엄원희캐슬봉담,제7층 제719호,18.52,49.99,15.12,185000000,90650000,128000000,69.0,49,2,846,1223,,
2024타경77428(1),수원본원지방법원,2026-03-16,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제932호,14.58,29.67,8.98,136000000,95200000,97000000,71.0,70,1,1081,1515,,
2024타경77428(2),수원본원지방법원,2026-03-16,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제937호,12.09,24.6,7.44,113000000,79100000,84000000,74.0,70,1,1129,1519,,
2024타경77428(3),수원본원지방법원,2026-03-16,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제938호,14.58,29.67,8.98,136000000,95200000,97000000,71.0,70,1,1081,1515,,
2024타경77428(4),수원본원지방법원,2026-03-16,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제939호,12.09,24.6,7.44,113000000,79100000,84000000,74.0,70,1,1129,1519,,
2024타경77428(5),수원본원지방법원,2026-03-16,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제942호,14.58,29.67,8.98,136000000,95200000,97000000,71.0,70,1,1081,1515,,
2024타경77428(6),수원본원지방법원,2026-03-16,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제950호,12.09,24.6,7.44,115000000,80500000,83700000,73.0,70,1,1125,1545,,
2024타경77428(7),수원본원지방법원,2026-03-16,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제953호,14.58,29.67,8.98,139000000,97300000,97300000,70.0,70,1,1084,1549,,
2024타경77428(8),수원본원지방법원,2026-03-16,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제961호,14.58,29.67,8.98,139000000,97300000,97300000,70.0,70,1,1084,1549,,
2024타경77428(9),수원본원지방법원,2026-03-16,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제962호,12.09,24.6,7.44,115000000,80500000,83700000,73.0,70,1,1125,1545,,
2023타경7385(1),수원본원지방법원,2026-03-16,화성시 동탄구,영천동,834-1,와이케이퍼스트타워,3층314호,11.78,28.42,8.6,92000000,31556000,31770000,35.0,34,3,370,1070,,
2023타경7385(6),수원본원지방법원,2026-03-16,화성시 동탄구,영천동,834-1,와이케이퍼스트타워,8층815호,10.97,26.46,8.0,86000000,29498000,31770000,37.0,34,3,397,1074,,
2023타경7385(7),수원본원지방법원,2026-03-16,화성시 동탄구,영천동,834-1,와이케이퍼스트타워,9층903호,14.38,34.68,10.49,113000000,38759000,45683000,40.0,34,3,435,1077,,
2023타경7385(8),수원본원지방법원,2026-03-16,화성시 동탄구,영천동,834-1,와이케이퍼스트타워,9층904호,14.38,34.68,10.49,113000000,38759000,46887000,41.0,34,3,447,1077,,
2023타경7385(9),수원본원지방법원,2026-03-16,화성시 동탄구,영천동,834-1,와이케이퍼스트타워,9층913호,11.78,28.42,8.6,92000000,31556000,33040000,36.0,34,3,384,1070,,
2024타경10074,수원본원지방법원,2026-03-13,화성시 동탄구,영천동,862-2,동탄아이티밸리2차1동,제7층 제717호,,33.99,10.28,159000000,54537000,63600600,40.0,34,3,619,1546,O,
2024타경3809(2),수원본원지방법원,2026-03-03,화성시 동탄구,영천동,852-2,삼성어반타워,제지1층 제비101호,,18.36,5.55,20000000,9800000,11001000,55.0,49,2,198,360,O,
2024타경13455,수원본원지방법원,2026-02-23,화성시 동탄구,영천동,862-2,동탄아이티밸리2차1동,제3층 제336호,11.13,31.45,9.51,115000000,39445000,54999999,48.0,34,3,578,1209,,
2024타경101482,수원본원지방법원,2026-02-10,화성시 동탄구,영천동,875-1,동탄코너원스마트타워,제7층 제710호,14.68,42.52,12.86,172000000,58996000,81000000,47.0,34,3,630,1337,,
2024타경13196,수원본원지방법원,2026-02-09,용인시 기흥구,구갈동,681,기흥아이씨티밸리에스케이브이원 제비동,제24층 제2407호,30.17,118.72,35.91,589000000,288610000,444000000,75.0,49,2,1236,1640,,
2023타경7385(10),수원본원지방법원,2026-02-03,화성시 동탄구,영천동,652-4,에이팩시티,16층1616호,12.8,41.72,12.62,186000000,91140000,114000000,61.0,49,2,903,1474,,
2023타경7385(11),수원본원지방법원,2026-02-03,화성시 동탄구,영천동,652-4,에이팩시티,16층1617호,12.8,41.72,12.62,186000000,91140000,116000000,62.0,49,2,919,1474,,
2024타경85498(1),수원본원지방법원,2026-01-27,화성시 동탄구,영천동,862-2,동탄아이티밸리2차1동,제11층 제1120호,,33.99,10.28,161000000,55223000,62150000,39.0,34,3,604,1566,O,
2024타경85498(2),수원본원지방법원,2026-01-27,화성시 동탄구,영천동,862-2,동탄아이티밸리2차1동,제11층 제1121호,,33.99,10.28,161000000,55223000,62150000,39.0,34,3,604,1566,O,
2024타경85498(3),수원본원지방법원,2026-01-27,화성시 동탄구,영천동,862-2,동탄아이티밸리2차1동,제11층 제1122호,,33.99,10.28,161000000,55223000,62150000,39.0,34,3,604,1566,O,
2024타경85498(4),수원본원지방법원,2026-01-27,화성시 동탄구,영천동,862-2,동탄아이티밸리2차1동,제11층 제1123호,,33.99,10.28,161000000,55223000,62150000,39.0,34,3,604,1566,O,
2024타경77411(1),수원본원지방법원,2026-01-19,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제10층 제1038호,14.58,29.67,8.98,124000000,86800000,95000000,77.0,70,1,1058,1382,,
2024타경77411(2),수원본원지방법원,2026-01-19,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제10층 제1055호,14.58,29.67,8.98,124000000,86800000,97000000,78.0,70,1,1081,1382,,
2024타경77411(3),수원본원지방법원,2026-01-19,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제10층 제1056호,12.09,24.6,7.44,118000000,82600000,85000000,72.0,70,1,1142,1586,,
2024타경77411(4),수원본원지방법원,2026-01-19,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제10층 제1066호,12.09,24.6,7.44,118000000,82600000,85000000,72.0,70,1,1142,1586,,
2024타경77411(5),수원본원지방법원,2026-01-19,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제10층 제1073호,12.09,24.6,7.44,118000000,82600000,84000000,71.0,70,1,1129,1586,,
2024타경77411(6),수원본원지방법원,2026-01-19,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제10층 제1075호,12.09,24.6,7.44,118000000,82600000,84000000,71.0,70,1,1129,1586,,
2024타경77411(7),수원본원지방법원,2026-01-19,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제10층 제1077호,12.09,24.6,7.44,118000000,82600000,84000000,71.0,70,1,1129,1586,,
2024타경77411(8),수원본원지방법원,2026-01-19,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제10층 제1083호,12.09,24.6,7.44,118000000,82600000,84000000,71.0,70,1,1129,1586,,
2024타경77411(9),수원본원지방법원,2026-01-19,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제10층 제1084호,14.58,29.67,8.98,124000000,86800000,97000000,78.0,70,1,1081,1382,,
2024타경101109,수원본원지방법원,2026-01-14,용인시 기흥구,농서동,457,이너매스허브시티,제4층 제431호,7.53,17.52,5.3,100000000,24010000,31333300,31.0,24,4,591,1887,,
2024타경77480(1),수원본원지방법원,2026-01-07,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제964호,12.09,24.6,7.44,114000000,79800000,83600000,73.0,70,1,1123,1532,,
2024타경77480(2),수원본원지방법원,2026-01-07,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제973호,12.09,24.6,7.44,112000000,78400000,84200000,75.0,70,1,1131,1505,,
2024타경77480(3),수원본원지방법원,2026-01-07,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제974호,14.58,29.67,8.98,135000000,94500000,97000000,72.0,70,1,1081,1504,,
2024타경77480(4),수원본원지방법원,2026-01-07,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제979호,12.09,24.6,7.44,112000000,78400000,83800000,75.0,70,1,1126,1505,,
2024타경77480(5),수원본원지방법원,2026-01-07,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제980호,14.58,29.67,8.98,135000000,94500000,97400000,72.0,70,1,1085,1504,,
2024타경77480(6),수원본원지방법원,2026-01-07,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제981호,12.09,24.6,7.44,112000000,78400000,84000000,75.0,70,1,1129,1505,,
2024타경77480(7),수원본원지방법원,2026-01-07,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제982호,14.58,29.67,8.98,135000000,94500000,97000000,72.0,70,1,1081,1504,,
2024타경77480(8),수원본원지방법원,2026-01-07,용인시 기흥구,농서동,455,프리미엄원희캐슬기흥서천,제9층 제986호,14.58,29.67,8.98,135000000,94500000,97000000,72.0,70,1,1081,1504,,
2024타경7382,수원본원지방법원,2026-01-06,화성시 동탄구,영천동,862-2,동탄아이티밸리2차1동,제3층 제322호,,33.99,10.28,158000000,54194000,59890000,38.0,34,3,582,1537,O,
